full_audio_path,ref_text_cleaned,pred_text_cleaned,cer,cluster,cluster_characteristics,duration,speed,snr
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0009.wav,三国吴国顾雍是个什么样的人,三国无国雇庸是个什么样的人,0.2308,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.3846875,3.8408272551010985,51.076515197753906
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0027.wav,掉头发给支支招啊,调头发该猪治找啊,0.625,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,2.4689375,3.240260233399995,52.15000915527344
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0029.wav,我想知道掘金队安东尼的资料,我想知道掘境对安东尼的治疗,0.3077,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.047625,2.9531192321889996,51.88163757324219
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0031.wav,显示器摇的厉害,显示器要得厉害,0.2857,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.07,2.6058631921824107,56.32534408569336
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0034.wav,沙龙是什么东西呀,啥龙是什么东西啊,0.25,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,2.7850625,2.513408585983259,55.16834259033203
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0100.wav,为什么地球有引力,为什么地球有阴义,0.25,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.34,2.9940119760479043,71.13849639892578
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0107.wav,猪的胰岛在什么位置,猪的一刀在什么位置,0.2222,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.31,2.1148036253776437,63.844242095947266
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0112.wav,网上靠包子是什么意思,网上call包子是什么意思,0.4,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.52,2.840909090909091,65.11344146728516
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0138.wav,太原哪里可以买到多威马拉松还,太原哪里可以买到多维嘛拉松鞋,0.2143,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,5.02,2.5896414342629486,55.07807922363281
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0140.wav,姜志焕的年龄是多少,江志涣的年龄是多少,0.2222,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,4.96,3.2258064516129035,64.0679931640625
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0146.wav,百家姓中有比姓吗,搬家心中有比性吗,0.375,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.1,3.225806451612903,54.045799255371094
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0167.wav,是脱鞋进机房好还是穿鞋套进机房好,是拖鞋竞机房好还是穿鞋套竞技防好,0.3125,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,2.86,2.7972027972027975,54.94102096557617
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0181.wav,老饿怎么办呀,老后么办,0.5,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.25,3.3846153846153846,53.391273498535156
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0185.wav,北京柒牌专卖在哪儿,北京棋牌专卖在哪了,0.2222,6,高信噪比（>40dB），音频音质好; 语速适中（2.5-4字/秒），语速不是核心问题; 音频时长适中（3-4秒），时长不是核心问题; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.76,3.191489361702128,51.578765869140625
